,name,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA,hasWiki,isArchived,package.json,package-lock.json
149,typicode/lowdb,False,471,1,main,24,32.0,MIT License,227,17461,836,2711,2014-04-02T02:16:06,2022-04-12T02:38:48,2022-04-15T04:01:38,,JavaScript,398.0,2.0,136,1,2022-03-10T03:22:54,6c2bc479621f61257943658662c0ae20e833e09b,False,False,True,True
151,zloirock/core-js,False,4434,5,master,207,103.0,MIT License,230,17175,1306,34024,2013-07-17T04:32:27,2022-08-13T05:13:23,2022-08-16T07:00:40,,JavaScript,811.0,21.0,271,2,2022-08-12T08:29:06,ae1c66093915928794488566b8824c8e6d61ba69,False,False,True,True
154,michmich/magicmirror,False,4619,3,master,36,282.0,MIT License,654,16952,3900,20179,2014-02-19T03:48:09,2022-09-30T07:25:58,2022-09-30T02:13:44,http://magicmirror.builders,JavaScript,1292.0,39.0,1491,3,2022-07-02T11:07:02,30d5bfe59ebfb12bfd6671d63f338250aab18ea0,True,False,True,True
155,julianshapiro/velocity,False,895,5,master,119,50.0,MIT License,420,16933,1600,8139,2014-04-09T08:02:38,2020-10-24T07:45:51,2021-02-11T10:47:11,VelocityJS.org,JavaScript,811.0,38.0,116,0,2020-08-02T07:10:02,767e35cac12120be526eef330e4d988b2c3cfc3c,True,False,True,True
156,framework7io/framework7,False,6659,16,master,155,140.0,MIT License,689,16905,3288,102225,2014-02-23T12:15:53,2022-09-30T11:04:31,2022-10-04T03:07:00,http://framework7.io,JavaScript,3357.0,112.0,674,7,2022-09-14T11:49:29,d4863d637c8dd4ee48d5a100c81a33084a03829a,True,False,True,True
158,tailwindlabs/heroicons,False,154,4,master,24,23.0,MIT License,162,16835,1071,1766,2020-02-24T02:16:00,2022-10-06T03:41:59,2022-10-13T03:06:56,https://heroicons.com,JavaScript,350.0,0.0,98,0,2022-10-05T08:19:25,e58d022d02b8c9a8042ff071249f44621368ef97,True,False,True,True
160,handlebars-lang/handlebars.js,False,2015,16,master,0,170.0,MIT License,454,16773,2063,3995,2010-07-31T06:54:46,2022-09-17T05:00:38,2022-09-20T01:14:45,http://handlebarsjs.com,JavaScript,1319.0,65.0,516,21,2022-09-17T05:00:38,69dbe65c19cfb0f31d72d644d74a7f0477308035,False,False,True,True
162,angular/material,False,4949,53,master,16,371.0,MIT License,724,16756,3558,51334,2014-07-01T07:20:06,2022-04-11T07:18:28,2022-04-15T05:21:03,https://material.angularjs.org/,JavaScript,9009.0,269.0,3084,9,2022-04-11T07:18:26,0b55529940d516a94777ca1d179e65df7835dd2a,False,True,True,True
164,statsd/statsd,False,1019,8,master,0,189.0,MIT License,460,16611,1984,811,2010-12-30T12:09:50,2022-08-16T07:17:24,2022-08-18T11:41:14,,JavaScript,273.0,49.0,457,36,2022-08-01T09:19:00,8e6e29ea1f00062c9be27eebb122fa8c427bc74b,True,False,True,True
165,mojs/mojs,False,1253,5,master,14,20.0,MIT License,426,16550,890,139685,2014-06-26T08:49:14,2021-03-10T11:21:22,2021-03-13T09:34:00,https://mojs.github.io,JavaScript,175.0,38.0,58,1,2020-04-28T01:07:14,99726767a4688053e21daf1b6a47a4f52bded32d,True,False,True,True
168,afarkas/lazysizes,False,854,10,gh-pages,95,46.0,MIT License,285,16470,1753,2806,2014-10-11T09:03:26,2022-09-26T10:41:35,2022-09-30T05:00:25,,JavaScript,803.0,160.0,132,32,2021-05-17T09:26:41,1523a4ff4579e170355c7607f445689b43229caf,True,False,True,True
171,alpinejs/alpine,False,1236,14,master,68,115.0,MIT License,217,16405,654,4446,2019-11-28T01:51:55,2021-06-05T08:56:39,2021-06-07T04:42:37,,JavaScript,513.0,45.0,355,5,2021-06-03T12:30:19,976cb53bd7ba9aa3b00ebebd03ca4ec074e7c016,False,False,True,True
178,nfl/react-helmet,False,349,32,master,3,58.0,MIT License,124,16116,673,2646,2015-06-18T12:07:34,2022-03-17T09:03:59,2022-03-19T01:35:16,,JavaScript,370.0,148.0,298,48,2020-06-30T12:12:52,1b57ddb1524bab195df3eeabafef67768a6d2a15,True,False,True,True
182,jedwatson/classnames,False,327,3,main,0,39.0,MIT License,131,15858,542,463,2014-11-05T12:44:31,2022-09-20T11:26:17,2022-09-23T12:00:25,,JavaScript,144.0,1.0,141,3,2022-09-20T11:26:14,495e24d98c245f849858998955d3b7442d614e3c,True,False,True,True
186,infernojs/inferno,False,6107,5,master,177,184.0,MIT License,282,15551,672,40846,2015-02-01T10:07:38,2022-09-27T06:11:20,2022-09-30T09:52:48,https://infernojs.org,JavaScript,867.0,32.0,737,0,2022-09-27T06:10:00,a6cb56f3e687fd922a760cd5e9b13dc44b79dc7c,True,False,True,True
191,plotly/plotly.js,False,24257,59,master,210,169.0,MIT License,287,14956,1700,1267529,2015-11-05T11:27:17,2022-09-02T10:45:54,2022-09-06T11:55:12,https://plotly.com/javascript/,JavaScript,3688.0,1266.0,2604,38,2022-08-31T09:09:38,55f86ea9661afeb4bff1e4a0d0b22fb3679c29cb,False,False,True,True
193,designmodo/flat-ui,False,246,2,master,1,28.0,MIT License,757,14906,2415,36190,2013-03-03T03:36:49,2022-01-24T03:32:58,2022-01-25T09:14:41,https://designmodo.com/flat-free/,JavaScript,189.0,9.0,73,0,2022-01-24T03:32:58,da7a2296826f7ee9a49214f48beeb6b764200d63,True,False,True,True
195,yaronn/blessed-contrib,False,408,5,master,0,47.0,MIT License,331,14788,892,5395,2015-01-14T02:18:07,2022-06-08T06:35:43,2022-06-12T03:59:17,,JavaScript,137.0,72.0,95,11,2022-02-17T07:42:49,ecd48d98c4c63a9cacfe20f68f568b3321ec46f5,True,False,True,True
197,keystonejs/keystone-classic,False,8795,34,master,16,232.0,MIT License,503,14730,2297,151918,2013-07-02T05:01:55,2022-08-17T11:00:18,2022-08-18T10:48:14,http://v4.keystonejs.com,JavaScript,2458.0,305.0,2543,56,2022-02-15T03:45:55,6e5ba1142a0909c64a1a38e20f31fcf9bed6e4db,True,False,True,True
202,checkly/headless-recorder,False,337,6,main,20,21.0,MIT License,186,14536,680,12628,2018-08-13T07:31:11,2022-10-13T12:12:55,2022-10-21T02:44:33,https://checklyhq.com/headless-recorder,JavaScript,105.0,23.0,113,11,2022-09-26T12:30:43,e10522bb14ea95189e77a76ec5300bec16b81689,False,False,True,True
204,frappe/charts,False,425,9,master,18,45.0,MIT License,220,14468,716,6722,2017-10-26T10:13:21,2022-09-14T09:58:30,2022-09-17T05:40:48,https://frappe.io/charts,JavaScript,262.0,121.0,127,27,2022-04-27T10:39:50,7adc904b08fbb45fb30372d9c6a3c3df43f80085,True,False,True,True
205,maxwellito/vivus,False,174,3,master,15,23.0,MIT License,281,14259,1133,472,2014-05-13T10:22:18,2022-07-06T10:16:59,2022-07-10T02:58:52,,JavaScript,196.0,12.0,42,0,2022-07-06T10:16:59,06b7adb5d543b6b1d0d93fa83dea137b1f8644a5,True,False,True,True
206,commitizen/cz-cli,False,383,24,master,72,84.0,MIT License,78,14223,546,2425,2015-04-20T01:11:39,2022-09-25T04:49:47,2022-09-30T07:41:34,http://commitizen.github.io/cz-cli/,JavaScript,329.0,151.0,618,25,2022-07-17T02:00:43,09399106b43f8e00191ab921a42797049725b73b,True,False,True,True
213,gpujs/gpu.js,False,1273,43,develop,99,45.0,MIT License,253,13923,660,18785,2016-02-09T09:13:37,2022-09-14T03:13:47,2022-09-16T01:53:24,https://gpu.rocks,JavaScript,571.0,170.0,203,26,2022-03-28T02:51:31,230d09508c678013d2744a22a11d6d7a6ce7f570,True,False,True,True
214,mdx-js/mdx,False,1536,9,main,111,163.0,MIT License,82,13923,1138,40373,2017-12-24T12:01:48,2022-10-01T04:26:49,2022-10-04T12:23:24,https://mdxjs.com,JavaScript,593.0,16.0,1271,10,2022-09-08T05:26:53,9d2aa80ba00e68130763235a4d12902a5cfe017b,False,False,True,True
216,thomaspark/bootswatch,False,2188,5,v5,0,85.0,MIT License,494,13838,3667,77660,2012-02-07T04:31:56,2022-10-13T05:41:49,2022-10-21T01:42:39,https://bootswatch.com,JavaScript,840.0,22.0,368,1,2022-10-13T05:39:24,2d8973af69993f4f9b3e150bc8d0fb7e98025f78,False,False,True,True
217,liabru/matter-js,False,871,5,master,0,24.0,MIT License,240,13805,1853,22644,2014-02-19T02:16:17,2022-10-10T02:02:25,2022-10-20T03:27:39,,JavaScript,1023.0,166.0,135,49,2022-08-06T08:49:30,8ca9cb4fa4902b0c12f4ee350f18ec106775823c,True,False,True,True
221,hubspot/youmightnotneedjquery,False,316,2,dev,0,40.0,MIT License,302,13623,525,473,2014-01-16T12:21:17,2022-02-21T10:49:15,2022-02-25T12:24:21,http://YouMightNotNeedjQuery.com,JavaScript,113.0,32.0,131,20,2021-11-27T08:23:04,0125d537411f221035033c4eb0d3d8a09b89d385,True,False,True,True
222,edent/supertinyicons,False,979,4,master,0,112.0,MIT License,146,13534,798,7879,2017-04-13T11:28:34,2022-08-02T12:12:10,2022-08-06T03:15:29,,JavaScript,212.0,21.0,444,5,2022-08-02T12:12:10,963f7c6a90a52e8d08fc90fdbcf97fa5a0f00938,False,False,True,True
225,mithriljs/mithril.js,False,3639,26,next,34,244.0,MIT License,320,13438,952,12825,2014-03-17T01:59:39,2022-09-18T01:30:55,2022-09-23T07:20:26,https://mithril.js.org,JavaScript,1532.0,111.0,1221,6,2022-07-22T11:44:44,645cf663b220614d107cde0d86e3a104db3529fc,True,False,True,True
228,angular/angular-seed,False,207,4,master,0,42.0,MIT License,713,13199,7139,14494,2010-12-24T06:07:50,2022-02-28T04:45:47,2022-03-01T02:02:15,http://angularjs.org/,JavaScript,216.0,10.0,243,9,2018-11-15T02:05:18,8c695627a6c3f1e62233d9b1f21a301d338a2d15,True,False,True,True
232,moment/luxon,False,1148,9,master,0,189.0,MIT License,101,13062,669,91099,2015-11-30T12:48:48,2022-09-26T04:19:26,2022-09-30T12:54:08,https://moment.github.io/luxon,JavaScript,867.0,98.0,394,10,2022-09-24T09:49:01,07af510dc39e548ce30031c9097f3d69dac32aa0,False,False,True,True
235,you-dont-need/you-dont-need-momentjs,False,253,5,master,0,36.0,MIT License,145,12922,334,975,2018-09-08T02:57:38,2022-10-05T03:37:52,2022-10-12T03:58:07,,JavaScript,48.0,24.0,84,7,2022-09-20T04:52:29,36458572698e92103f6489a411af059f4d95ca96,True,False,True,True
236,faressoft/terminalizer,False,189,2,master,0,5.0,MIT License,125,12920,457,3911,2018-07-22T04:00:15,2022-09-07T03:20:23,2022-09-13T03:51:29,https://terminalizer.com,JavaScript,147.0,82.0,52,15,2022-09-07T03:19:37,dc65dbebf124419b200394e6f1fffea0d6090a9c,True,False,True,True
237,pqina/filepond,False,697,3,master,72,59.0,MIT License,149,12902,744,4247,2017-10-09T12:17:44,2022-10-02T02:25:49,2022-10-12T03:27:30,https://pqina.nl/filepond,JavaScript,734.0,56.0,115,9,2022-10-02T02:25:49,ecd57dfc9da2dfbe0a8585cb6041bca42d63889a,False,False,True,True
242,myliang/x-spreadsheet,False,582,3,master,9,27.0,MIT License,257,12753,1462,3801,2018-09-06T10:24:23,2022-09-26T10:06:38,2022-09-30T09:37:37,https://myliang.github.io/x-spreadsheet,JavaScript,477.0,303.0,139,44,2022-05-30T01:19:21,822aa623a53012583f91e04dc4ea7613c8f2315f,True,False,True,True
244,uuidjs/uuid,False,490,4,main,0,57.0,MIT License,139,12621,836,2424,2010-12-28T02:59:11,2022-09-07T09:03:20,2022-09-13T05:49:00,,JavaScript,342.0,6.0,306,3,2022-09-05T08:01:43,4cf24c018cead5ebe48cb4da232b57a2345d9fb5,False,False,True,True
246,redux-form/redux-form,False,2059,23,master,206,348.0,MIT License,177,12601,1688,10325,2015-07-31T04:07:03,2022-10-07T06:52:51,2022-10-16T04:02:14,https://redux-form.com,JavaScript,3728.0,474.0,1037,35,2021-11-17T05:31:07,d1067cb6f0fb76d76d91462676cd0b2c3927f9db,False,False,True,True
250,jwagner/smartcrop.js,False,130,6,main,6,14.0,MIT License,220,12438,607,23126,2014-04-03T02:21:19,2022-07-10T07:54:18,2022-07-10T12:58:04,http://29a.ch/2014/04/03/smartcrop-content-aware-image-cropping,JavaScript,85.0,14.0,28,0,2022-07-10T07:54:17,de2d1438b1f46490452f8e8b196974b19b0b0dcf,True,False,True,True
254,mattboldt/typed.js,False,326,4,master,19,33.0,MIT License,204,12317,1590,3045,2013-05-25T10:17:44,2022-09-15T04:25:10,2022-09-20T04:06:55,http://www.mattboldt.com/demos/typed-js/,JavaScript,371.0,7.0,142,2,2021-12-23T09:54:19,37873a11ffadc43af412b67eea332d2a531dad15,True,False,True,True
258,http-party/http-server,False,616,6,master,12,79.0,MIT License,196,12172,1382,1918,2011-06-16T11:54:57,2022-10-04T11:13:11,2022-10-12T07:14:52,,JavaScript,499.0,81.0,333,37,2022-05-31T09:50:55,8f7fcb08003952ec300874559690d0d75d241ffa,True,False,True,True
